,state,sector,share
198,Massachusetts,Industrial,0.06
199,Michigan,Industrial,0.117
200,Minnesota,Industrial,0.206
201,Mississippi,Industrial,0.181
202,Missouri,Industrial,0.076
203,Montana,Industrial,0.178
204,Nebraska,Industrial,0.193
205,Nevada,Industrial,0.076
206,New Hampshire,Industrial,0.06
207,New Jersey,Industrial,0.097
208,New Mexico,Industrial,0.17
209,New York,Industrial,0.056
210,North Carolina,Industrial,0.09
211,North Dakota,Industrial,0.295
212,Ohio,Industrial,0.188
213,Oklahoma,Industrial,0.277
214,Oregon,Industrial,0.116
215,Pennsylvania,Industrial,0.218
216,Rhode Island,Industrial,0.062
217,South Carolina,Industrial,0.112
218,South Dakota,Industrial,0.276
219,Tennessee,Industrial,0.165
220,Texas,Industrial,0.367
221,Utah,Industrial,0.116
222,Vermont,Industrial,0.088
223,Virginia,Industrial,0.11
224,Washington,Industrial,0.18
225,West Virginia,Industrial,0.156
226,Wisconsin,Industrial,0.14
227,Wyoming,Industrial,0.202
228,Total,Industrial,0.206
236,Alabama,Transportation,0.342
237,Alaska,Transportation,0.33
238,Arizona,Transportation,0.43
239,Arkansas,Transportation,0.34
240,California,Transportation,0.529
241,Colorado,Transportation,0.32
242,Connecticut,Transportation,0.386
243,Delaware,Transportation,0.394
244,District of Columbia,Transportation,0.369
245,Florida,Transportation,0.464
246,Georgia,Transportation,0.481
247,Hawaii,Transportation,0.511
248,Idaho,Transportation,0.557
249,Illinois,Transportation,0.321
250,Indiana,Transportation,0.233
251,Iowa,Transportation,0.287
252,Kansas,Transportation,0.303
253,Kentucky,Transportation,0.312
254,Louisiana,Transportation,0.213
255,Maine,Transportation,0.492
256,Maryland,Transportation,0.531
257,Massachusetts,Transportation,0.458
258,Michigan,Transportation,0.319
259,Minnesota,Transportation,0.346
260,Mississippi,Transportation,0.355
261,Missouri,Transportation,0.321
262,Montana,Transportation,0.305
263,Nebraska,Transportation,0.284
264,Nevada,Transportation,0.428
265,New Hampshire,Transportation,0.481
266,New Jersey,Transportation,0.466
267,New Mexico,Transportation,0.33
268,New York,Transportation,0.419
269,North Carolina,Transportation,0.47
270,North Dakota,Transportation,0.156
271,Ohio,Transportation,0.297
272,Oklahoma,Transportation,0.344
273,Oregon,Transportation,0.508
274,Pennsylvania,Transportation,0.272
275,Rhode Island,Transportation,0.34
276,South Carolina,Transportation,0.464
277,South Dakota,Transportation,0.443
278,Tennessee,Transportation,0.503
279,Texas,Transportation,0.309
280,Utah,Transportation,0.299
281,Vermont,Transportation,0.487
282,Virginia,Transportation,0.48
283,Washington,Transportation,0.506
284,West Virginia,Transportation,0.146
285,Wisconsin,Transportation,0.315
286,Wyoming,Transportation,0.131
287,Total,Transportation,0.359
